,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,eof,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
ADDOP,,,,,,,,,,,,,,,,,,,,,ADDOP → minus SA1,ADDOP → plus SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or SA1
APARAMS,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → SA3 TERM SA3 RIGHTRECARITHEXPR SA12 SA9,ARITHEXPR → SA3 TERM SA3 RIGHTRECARITHEXPR SA12 SA9,,,,,,,,,,,,,,,ARITHEXPR → SA3 TERM SA3 RIGHTRECARITHEXPR SA12 SA9,ARITHEXPR → SA3 TERM SA3 RIGHTRECARITHEXPR SA12 SA9,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → SA3 TERM SA3 RIGHTRECARITHEXPR SA12 SA9,ARITHEXPR → SA3 TERM SA3 RIGHTRECARITHEXPR SA12 SA9,ARITHEXPR → SA3 TERM SA3 RIGHTRECARITHEXPR SA12 SA9,,,
ARRAYOROBJECT,,,,,ARRAYOROBJECT → lpar SA3 APARAMS SA33 rpar,,,,,ARRAYOROBJECT → SA3 REPTARRAYSIZE SA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYOROBJECT → SA3 REPTARRAYSIZE SA4,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr SA2,,,,,ARRAYSIZE2 → intlit SA1 rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal SA1,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id SA1 SA3 OPTINHERITS SA25 lcurbr SA3 REPTMEMBERDECL SA26 rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → SA3 FUNCDEF SA21,,,,,,,,CLASSDECLORFUNCDEF → SA3 CLASSDECL SA22,,
